Member_ID,Cancel_Date
204,2025-05-11
267,2025-04-16
153,2024-07-23
10,2025-07-05
234,2024-06-15
227,2024-08-02
197,2025-04-27
110,2025-03-19
6,2024-09-17
176,2025-01-23
238,2024-08-13
58,2025-08-29
219,2024-07-04
46,2024-09-10
183,2025-05-12
290,2025-07-07
212,2025-07-25
149,2025-04-02
166,2024-12-27
114,2025-08-14
251,2025-06-12
43,2025-03-05
282,2025-01-15
296,2025-06-27
239,2025-06-29
18,2024-07-23
165,2025-03-24
34,2025-09-02
25,2025-06-07
216,2025-05-31
120,2025-03-13
8,2024-12-01
91,2025-06-06
94,2024-09-08
77,2025-04-27
61,2025-01-26
78,2025-04-30
64,2025-09-08
230,2024-08-08
112,2025-08-10
232,2025-06-08
145,2025-07-15
240,2025-05-15
76,2025-03-07
